"","Id","treatment","flowering","SR","sdNDVI","CVNDVI","RaoQ","MPD","CHV","CVrefl","SpSp"
"1","A03","LP_LF_F",1,30,0.117709068178151,0.219136958680528,3.54236318035897,3.88078288083345,87.2162685415911,0.460062253609252,40.5555555555556
"2","A04","HP_HF_U",0,19,0.0919587300846079,0.140541886006821,1.84395294684783,2.16220294067003,59.7073167879366,0.318912522068227,50.7777777777778
"3","A05","Leo_his_U",0,29,0.108747234301955,0.173686491453491,1.75261135711988,2.06833522555456,19.4277648252274,0.31692265331901,47.7777777777778
"4","A06","Hyp_per_F",1,26,0.123537464879674,0.218577896531198,3.701540332311,4.00301855895732,98.8954643839906,0.428548098409822,39.5555555555556
"5","A07","HP_LF_U",0,20,0.126093123644285,0.23762121177041,3.3813811369688,3.77489946756558,95.6377518494051,0.442700531622254,43.4444444444444
"6","A08","Hyp_per_U",1,26,0.114900562088702,0.196368886332914,3.1352367169413,3.35433890655506,76.1403571508075,0.40075085280676,35.8888888888889
"7","A09","Lyc_flo_U",0,21,0.105575547826172,0.189739115905263,1.5339132161176,1.76397787042924,19.8774260719205,0.304373974481319,44.5555555555556
"8","A14","Hol_lan_F",0,28,0.111960198896235,0.202370744075235,1.78322542841997,2.10799083853564,41.1137973134017,0.301547497724553,32.2222222222222
"9","A15","Hyp_per_F",1,22,0.112087575197513,0.189162007299327,2.92836596785033,3.28750537977835,60.7421624428798,0.384031523761356,44.4444444444444
"10","A16","Hol_lan_U",1,25,0.107194071105702,0.203561451280821,2.27162707219097,2.57683176731453,38.6579483861545,0.384744751346914,41.7777777777778
"11","A17","HP_HF_F",1,17,0.123247413304555,0.229181339195662,3.61907553570274,4.0678739561517,93.4494286148154,0.433474261626733,47.8888888888889
"12","B03","Leo_his_F",0,31,0.0955304672162278,0.158805827091939,1.77697825688227,2.07740626859036,33.8418275221726,0.28986468291063,38.1111111111111
"13","B04","LP_LF_F",1,23,0.104574750212127,0.199712076392048,2.96816361991668,3.30945573842429,69.5794123545844,0.396585580620809,39.3333333333333
"14","B05","HP_HF_F",1,27,0.139773820511729,0.254790026972633,3.8193397890442,4.36029660536684,83.9755313007139,0.42206845721389,49.3333333333333
"15","B06","Dac_glo_U",0,25,0.0941030366789788,0.158361247726836,1.4964726220291,1.74463508641447,31.5582550914342,0.29493302173921,36.1111111111111
"16","B07","Leu_vul_F",0,20,0.104411586645033,0.197021573902582,1.61999869053547,1.86872505657951,17.3451568324688,0.299174382060261,41.2222222222222
"17","B08","Tri_arv_U",0,23,0.0953255890488234,0.15284845575622,2.20974031111228,2.49210910872305,56.3780060728883,0.377824656582001,46.8888888888889
"18","B09","HP_HF_F",0,23,0.103301492887592,0.154201868158903,2.38660957766561,2.80459864862047,50.5217991554635,0.369217118108134,50.4444444444444
"19","B13","Vic_sep_F",1,23,0.12488867526532,0.201519026009512,2.7870808388518,3.15828132259605,62.5519737128307,0.465634705864095,50.3333333333333
"20","B14","Lyc_flo_F",1,20,0.115871791462658,0.200322605940587,1.77490415470892,2.0888083828933,37.3245138540609,0.338231495428815,42.7777777777778
"21","B15","Leu_vul_U",0,18,0.0924111017483391,0.16529927808832,1.43545505148171,1.69123420597134,14.6153146114971,0.259908546524466,40.6666666666667
"22","B16","LP_HF_U",1,15,0.117941774416612,0.222954851508452,3.40172182619175,3.82500766001052,87.225393296638,0.435234190364508,48.4444444444444
"23","B17","Hol_lan_F",1,23,0.111120015954458,0.206253956079748,2.07292713162002,2.40231590044326,48.0164116057125,0.3528964766239,45
"24","C03","HP_HF_U",1,26,0.136533172428598,0.238463374761281,3.55537412358533,4.05511058394819,123.367961049321,0.470777815267575,45.7777777777778
"25","C04","HP_LF_F",1,20,0.140353148656855,0.252421773905742,3.42019499457992,3.8656321545263,67.1306381144788,0.453954136245358,46.8888888888889
"26","C05","Lot_cor_U",0,36,0.105491772766469,0.148752848687797,2.23035696714765,2.5757677417874,57.8406683701957,0.405612505209315,46.6666666666667
"27","C06","Alo_pra_U",0,26,0.102046526303828,0.150050343315136,2.15630091065943,2.45887036714374,47.2701683268992,0.452552307631994,51
"28","C07","Ant_vul_F",0,19,0.114332384464663,0.183162350403336,2.17416404395799,2.48778837981975,69.5295398897234,0.407010920298182,47.8888888888889
"29","C08","LP_LF_U",1,19,0.115410463805946,0.228975139897479,3.66248522995154,4.04965507797255,66.01585298098,0.417777375900781,42
"30","C09","HP_LF_F",0,18,0.0922114722681878,0.14546467765013,1.66409444286886,1.89839444501144,44.37265714716,0.307815276109527,45
"31","C10","Hyp_per_F",1,27,0.140192836674246,0.249658086692777,3.95940030806954,4.22927607539905,85.6180673490491,0.414974762005008,45
"32","C11","LP_HF_F",0,24,0.104345806384081,0.155372538260212,2.21711040586907,2.528493836398,58.4898835650952,0.393285108613524,51
"33","C13","HP_LF_F",0,27,0.101340633435631,0.142173545595181,1.82854048419575,2.15636589302881,52.3642364551647,0.369156079191001,49.4444444444444
"34","C14","HP_LF_F",1,18,0.136150160412855,0.241175152678904,3.56044851332214,3.99851322360231,89.0450160588528,0.456185438562238,50.4444444444444
"35","C15","Pru_vul_F",0,25,0.104593929167584,0.17454133125472,1.97001191383109,2.31904190298093,39.6149321898234,0.323230406810819,47.1111111111111
"36","C16","Dac_glo_F",0,14,0.096711344311649,0.149690563197711,1.78396402914767,2.0956576847998,69.7023161373327,0.320409120028649,46
"37","C17","Poa_pra_U",0,20,0.0974677737048161,0.163646184415319,1.40296506618273,1.67838566870551,18.720528002365,0.267989291271793,46.5555555555556
"38","C18","Ant_vul_U",1,27,0.115059368379149,0.17804835725056,2.15341106893911,2.50898330908114,54.8214068311176,0.392739972181396,51
"39","D03","Dia_del_F",1,26,0.110906625401355,0.170637558307733,2.25736346526558,2.60188855183939,116.403427131961,0.425111865368115,49.7777777777778
"40","D04","Alo_pra_F",0,20,0.0997738660751364,0.145209680202206,1.82994555030817,2.09417103705459,26.5639507736203,0.389161817960676,49.6666666666667
